Ores & Minerals,Mesurement Unit,Quantity - 2015-16 (R),Value - 2015-16,Quantity - 2016-17 (P),Value - 2016-17,Quantity - 2017-18 (P),Value - 2017-18,Note of Quantity - 2015-16 (R),Note of Value - 2015-16,Note of Quantity - 2016-17 (P),Note of Value - 2016-17,Note of Quantity - 2017-18 (P),Note of Value - 2017-18
All Minerals,NA,NA,1709463248,NA,2001306842,NA,1991204401,**,NA,**,NA,**,NA
Abrasive (Natural),tonne,4477,59894,4773,66649,49186,425304,NA,NA,NA,NA,NA,NA
Alabaster,tonne,NA,NA,20,240,4,41,---,---,NA,NA,NA,NA
Alumina,tonne,1368526,25895759,1509464,30030430,1361382,32961495,NA,NA,NA,NA,NA,NA
Andalusite,tonne,NA,NA,150,2063,6,327,---,---,NA,NA,NA,NA
Antimony Ores & Conc.,tonne,264,115561,46,9646,4,290,NA,NA,NA,NA,NA,NA
Arsenic Sulphide (Natural),tonne,15,98,NA,NA,25,280,NA,NA,---,---,NA,NA
Asbestos: Total,tonne,524,23587,102,963,132,943,NA,NA,NA,NA,NA,NA
Asbestos (Chrysotile),tonne,306,22919,26,395,1,95,NA,NA,NA,NA,NA,NA
Asbestos (Others),tonne,218,668,76,568,131,848,NA,NA,NA,NA,NA,NA
Ball Clay,tonne,61536,148435,92688,233666,154640,344836,NA,NA,NA,NA,NA,NA
Barytes,tonne,743407,6517075,1067313,7669141,1652975,9308877,NA,NA,NA,NA,NA,NA
Bauxite,tonne,8914624,19527404,2790675,5105333,1529308,2705040,NA,NA,NA,NA,NA,NA
Bentonite,tonne,1572469,4814343,1538134,4798150,1599608,4825168,NA,NA,NA,NA,NA,NA
Borax: Total,tonne,1724,124645,2480,164054,3136,261791,NA,NA,NA,NA,NA,NA
Natural Borate,tonne,141,1513,65,1329,16,560,NA,NA,NA,NA,NA,NA
Sodium Borate,tonne,1135,51516,1969,93325,2084,98828,NA,NA,NA,NA,NA,NA
Other Borates,tonne,448,71616,446,69400,1036,162403,NA,NA,NA,NA,NA,NA
Building And Monumental Stones Nes,tonne,5133276,8489458,8211193,12089834,7715765,10165733,NA,NA,NA,NA,NA,NA
Calcite,tonne,25198,177976,26981,202616,38638,289088,NA,NA,NA,NA,NA,NA
Chalk,tonne,481,3818,659,4550,683,4344,NA,NA,NA,NA,NA,NA
Chromite: Total,tonne,71839,1314085,230531,3657700,81835,1743015,NA,NA,NA,NA,NA,NA
Chrome Ore  Others,tonne,1867,26219,81502,1091305,48466,953757,NA,NA,NA,NA,NA,NA
Chrome Ore Conc.,tonne,69972,1287852,149029,2566395,33367,789176,NA,NA,NA,NA,NA,NA
Chrome Ore Lumps,tonne,NA,14,NA,NA,2,82,++,NA,---,---,NA,NA
Clay (Others),tonne,23341,312553,40343,459495,37363,365975,NA,NA,NA,NA,NA,NA
Coal(Ex Ligbite),Thousand tonne,1576,9006274,1772,9669603,1502,8777023,NA,NA,NA,NA,NA,NA
Coal:Lignite,Thousand tonne,NA,2753,2,251598,1,263660,++,NA,NA,NA,NA,NA
Coke,tonne,89847,1073159,77642,992815,90748,1628416,NA,NA,NA,NA,NA,NA
Coal Gas ,tonne,1,99,NA,95,37,1122,NA,NA,++,NA,NA,NA
Cobolt Ores & Conc.,tonne,NA,44,NA,20,NA,4,++,NA,++,NA,++,NA
Copper Ores & Conc.,tonne,11432,712919,22711,1054322,61005,3805458,NA,NA,NA,NA,NA,NA
Diamond,NA,NA,1427340191,NA,1627066250,NA,1620221010,**,NA,**,NA,**,NA
Diamond (Mostly Cut),Carat,NA,1426640484,NA,1625672978,NA,1619309698,**,NA,**,NA,**,NA
Diamond (Industrial),Carat,5651009,342214,6769897,1099542,9739890,613848,NA,NA,NA,NA,NA,NA
Diamond Powder,Thousand carat,9702,357493,8197,293730,11123,297464,NA,NA,NA,NA,NA,NA
Diatomite,tonne,30597,328268,38427,362900,52236,456663,NA,NA,NA,NA,NA,NA
Dolomite,tonne,85273,155664,61023,234402,71964,373396,NA,NA,NA,NA,NA,NA
Earth Clay,tonne,9000,87142,5792,61644,5828,63589,NA,NA,NA,NA,NA,NA
Emerald (Cut & Uncut): Total,NA,NA,17879971,NA,20340187,NA,17757744,**,NA,**,NA,**,NA
Emerald (Uncut),tonne,2,1938487,2,2301688,16,602532,NA,NA,NA,NA,NA,NA
Emerald (Cut),Thousand carat,138459,15941484,131357,18038499,42702,17155212,NA,NA,NA,NA,NA,NA
Felspar (Natural),tonne,426172,2232791,481457,2495595,539102,2686250,NA,NA,NA,NA,NA,NA
Felspar (Cut & Uncut): Total,NA,NA,41189,NA,239664,NA,303478,**,NA,**,NA,**,NA
Felspar (Uncut),tonne,38,1278,1,1972,47,18645,NA,NA,NA,NA,NA,NA
Felspar (Cut),Thousand carat,143300,39911,402811,237692,71740,284833,NA,NA,NA,NA,NA,NA
Fire Clay,tonne,887,10775,4324,14883,4117,30572,NA,NA,NA,NA,NA,NA
Flint,tonne,867,7660,652,6619,824,7683,NA,NA,NA,NA,NA,NA
Fluorspar,tonne,316,11578,608,21579,471,15316,NA,NA,NA,NA,NA,NA
Garnet(Abrasive),tonne,480408,5950862,387276,4691843,157224,2346630,NA,NA,NA,NA,NA,NA
Garnet( Cut And Uncut): Total,NA,NA,25405,NA,241716,NA,416710,**,NA,**,NA,**,NA
Garnet (Uncut),tonne,NA,274,10,11935,142,34844,++,NA,NA,NA,NA,NA
Garnet (Cut),Thousand carat,1062,25131,4442,229781,28085,381866,NA,NA,NA,NA,NA,NA
Granite : Total,tonne,5674568,92720986,6094341,93368588,6524816,92485125,NA,NA,NA,NA,NA,NA
Granite(Crude Or Roughly Trimmed),tonne,3398523,26999328,3572213,26647327,4037405,29073806,NA,NA,NA,NA,NA,NA
Granite (Cut Blocks/Slabes),tonne,659991,5966547,752239,6443590,739006,7776707,NA,NA,NA,NA,NA,NA
Granite (Polished Blocks/Tiles),tonne,153914,4358163,164056,4077170,186624,4445118,NA,NA,NA,NA,NA,NA
Granite (Others),tonne,1462140,55396948,1605833,56200501,1561781,51189494,NA,NA,NA,NA,NA,NA
Graphite(Natural),tonne,286,17070,402,30315,910,77567,NA,NA,NA,NA,NA,NA
Gypsum,tonne,110882,291061,194493,523392,160927,593833,NA,NA,NA,NA,NA,NA
Iron Ore: Total,Thousand tonne,5441,12639633,30728,102929254,24380,94901382,NA,NA,NA,NA,NA,NA
Iron Ore Conc: Non Agglomated,Thousand tonne,NA,8032,1107,2846476,453,924666,++,NA,NA,NA,NA,NA
Iron Ore: Fines,Thousand tonne,4635,8763003,18540,47421383,13100,32582233,NA,NA,NA,NA,NA,NA
Iron Ore: Lumps,Thousand tonne,112,185059,2266,6792560,1516,4402466,NA,NA,NA,NA,NA,NA
Iron Ore Pellates,Thousand tonne,694,3675792,8815,45847775,9311,56966622,NA,NA,NA,NA,NA,NA
Iron Ore Pyrites,Thousand tonne,NA,7747,NA,21060,NA,25395,++,NA,++,NA,++,NA
Kaolin,tonne,304702,1105587,232867,1136299,212930,1002177,NA,NA,NA,NA,NA,NA
Kieselguhr,tonne,90,1900,39,931,124,2577,NA,NA,NA,NA,NA,NA
Kyanite,tonne,144,2703,153,3052,166,3404,NA,NA,NA,NA,NA,NA
Lead Ores & Conc.,tonne,NA,215,1,33,NA,52,++,NA,NA,NA,++,NA
Limestone,tonne,3236010,4694274,4330822,4990065,2812042,4102331,NA,NA,NA,NA,NA,NA
Magnesite : Total,tonne,6204,124464,8065,135150,9553,188589,NA,NA,NA,NA,NA,NA
Magnesia (Fused),tonne,708,28794,620,23858,370,16736,NA,NA,NA,NA,NA,NA
Magnesite (Not Calcined),tonne,789,14604,597,13781,150,4273,NA,NA,NA,NA,NA,NA
Magnesite (Calcined),tonne,NA,NA,NA,NA,185,5823,---,---,---,---,NA,NA
Magnesite:Dead-Burnt Magnesia,tonne,37,1322,70,2152,63,1129,NA,NA,NA,NA,NA,NA
Magnesium Oxide,tonne,1268,38212,1150,34910,1875,78644,NA,NA,NA,NA,NA,NA
Magnesite (Other),tonne,3402,41532,5628,60449,6910,81984,NA,NA,NA,NA,NA,NA
Manganese Ore: Total,tonne,444,18945,244,12377,44167,508784,NA,NA,NA,NA,NA,NA
Manganese Ore (35% Or More But Below 46% Mn),tonne,NA,NA,7,35,24800,331750,---,---,NA,NA,NA,NA
Manganese Ore (46% Or More Mn),tonne,93,317,NA,13,NA,29,NA,NA,++,NA,++,NA
Manganese Ore (Others),tonne,351,18628,237,12329,19367,177005,NA,NA,NA,NA,NA,NA
Marble : Total,tonne,289853,5998393,326977,7048204,355364,7664933,NA,NA,NA,NA,NA,NA
Marble (Dresssed),tonne,181895,2472912,200307,2706455,223031,2892851,NA,NA,NA,NA,NA,NA
Marble (Others),tonne,107958,3525481,126670,4341749,132333,4772082,NA,NA,NA,NA,NA,NA
Mica: Total,tonne,135805,4229719,135163,4555655,154553,6191768,NA,NA,NA,NA,NA,NA
Mica (Unmanufactured): Total,tonne,135085,3444188,134423,3744499,153435,5252814,NA,NA,NA,NA,NA,NA
Mica (Blocks),tonne,1879,199920,1776,176318,1493,256153,NA,NA,NA,NA,NA,NA
Mica (Splittings),tonne,11611,295741,11327,357882,14851,474972,NA,NA,NA,NA,NA,NA
Mica (Powder),tonne,89716,2250836,86910,2394726,95505,3555628,NA,NA,NA,NA,NA,NA
Mica (Condenser Films),tonne,NA,NA,NA,289,NA,2103,---,---,++,NA,++,NA
Mica (Waste & Scrap),tonne,31879,697691,34410,815284,41586,963958,NA,NA,NA,NA,NA,NA
Mica (Worked): Total,tonne,720,785531,740,811156,1118,938954,NA,NA,NA,NA,NA,NA
"Mica (Cond. Films, Plates, Cuts Nes)",tonne,8,26632,4,6728,42,18564,NA,NA,NA,NA,NA,NA
Mica (Washers & Discs),tonne,15,45579,6,14182,5,20416,NA,NA,NA,NA,NA,NA
Mica (Sheets & Strips),tonne,49,85074,43,76565,40,106740,NA,NA,NA,NA,NA,NA
Micanite & Other Built-Up Mica,tonne,NA,1285,1,2651,5,4658,++,NA,NA,NA,NA,NA
Mica Worked (Others),tonne,648,626961,686,711030,1026,788576,NA,NA,NA,NA,NA,NA
Molybdenum Ores & Conc.,tonne,45,2199,22,1005,7,1922,NA,NA,NA,NA,NA,NA
Niobium Or Tantalum Ores & Conc.,tonne,NA,NA,2,7277,NA,213,---,---,NA,NA,++,NA
Natural Gas,tonne,126951,3798603,37072,1521058,70838,2946152,NA,NA,NA,NA,NA,NA
Nickel Ores & Conc.,tonne,125,11510,NA,NA,NA,19,NA,NA,---,---,++,NA
Ochre: Total,tonne,3633,75045,3360,78711,4518,69098,NA,NA,NA,NA,NA,NA
Ochre: Earth Colours,tonne,1760,23549,1621,21898,3163,25267,NA,NA,NA,NA,NA,NA
Ochre(Persian Red),tonne,NA,NA,23,2958,25,1072,---,---,NA,NA,NA,NA
Ochre(Red Oxide),tonne,1385,37451,1337,39176,970,30597,NA,NA,NA,NA,NA,NA
Ochre:Yellow Ochre,tonne,488,14045,379,14679,360,12162,NA,NA,NA,NA,NA,NA
Precious & Semi-Precious Stones (Cut & Uncut):Total,NA,NA,12590259,NA,11080271,NA,12653546,**,NA,**,NA,**,NA
Precious & Semi Precious Stones (Uncut),tonne,1318,1169574,1052,1114955,1772,1073328,NA,NA,NA,NA,NA,NA
Precious & Semi Precious Stones Cut,Thousand carat,3672035,11420685,2480729,9965316,2105892,11580218,NA,NA,NA,NA,NA,NA
Preciuos Metal Ores & Concentrates,Kilogram,144051,3166,5743,71,116000,792,NA,NA,NA,NA,NA,NA
Quartz And Quartzite: Total,tonne,388192,3025919,488800,3579270,550361,4286632,NA,NA,NA,NA,NA,NA
Quartz (Natural),tonne,301226,2023651,387880,2410657,431031,2898997,NA,NA,NA,NA,NA,NA
Quartzite(Natural),tonne,86966,1002268,100920,1168613,119330,1387635,NA,NA,NA,NA,NA,NA
Rock Phosphate,tonne,14242,69097,5915,8615,395,598,NA,NA,NA,NA,NA,NA
Salt ( Other Than Common Salt),tonne,5926639,6701176,7897937,7450785,9969601,9402723,NA,NA,NA,NA,NA,NA
Sand (Excl. Metal Bearing),tonne,14476,491906,17284,369425,32445,419871,NA,NA,NA,NA,NA,NA
Sandstone,tonne,744657,10161784,710400,9071313,930902,12323873,NA,NA,NA,NA,NA,NA
Silica Sand,tonne,709,6725,1096,8669,2747,22157,NA,NA,NA,NA,NA,NA
Sillimanite,tonne,15078,110847,14064,114678,16193,171835,NA,NA,NA,NA,NA,NA
Slate : Total,tonne,97591,1927313,122097,2343209,86297,1954229,NA,NA,NA,NA,NA,NA
Slate (Worked),tonne,20461,703193,19161,919805,9108,663051,NA,NA,NA,NA,NA,NA
Slate (Others),tonne,77130,1224120,102936,1423404,77189,1291178,NA,NA,NA,NA,NA,NA
Steatite : Total,tonne,187287,2709689,251546,3456143,243850,3576256,NA,NA,NA,NA,NA,NA
Steatite Blocks,tonne,2621,33768,11061,83953,1904,30179,NA,NA,NA,NA,NA,NA
Steatite Lumps,tonne,12736,222368,38986,573101,49156,700999,NA,NA,NA,NA,NA,NA
Steatite Powder & Others,tonne,171930,2453553,201499,2799089,192790,2845078,NA,NA,NA,NA,NA,NA
Sulphur (Exc. Sublimed Precipited & Colloidal),tonne,628164,5157081,616472,3469350,573855,4254429,NA,NA,NA,NA,NA,NA
Tin Ores & Conc.,tonne,NA,14,NA,NA,NA,3,++,NA,---,---,++,NA
Titanium Ores & Conc.: Total,tonne,790489,6644935,532204,5716719,355474,6010134,NA,NA,NA,NA,NA,NA
Titanium Ores & Conc.(Ileminite),tonne,783656,6302008,529822,5586178,353384,5889530,NA,NA,NA,NA,NA,NA
Titanium Ores & Conc.(Rutitle),tonne,6722,336087,2048,108327,2038,118116,NA,NA,NA,NA,NA,NA
Titanium Ores & Conc.(Others),tonne,111,6840,334,22214,52,2488,NA,NA,NA,NA,NA,NA
Tungsten Ores & Conc.,tonne,1,390,8,6064,30,29880,NA,NA,NA,NA,NA,NA
Vanadium Ores & Conc.,tonne,NA,NA,NA,25,NA,NA,---,---,++,NA,---,---
Vermiculite,tonne,528,6402,756,8312,454,5093,NA,NA,NA,NA,NA,NA
Witherite,tonne,NA,241,NA,216,8,319,++,NA,++,NA,NA,NA
Wollastonite,tonne,16616,279263,16700,293524,12478,224919,NA,NA,NA,NA,NA,NA
Zinc Ores & Conc.,tonne,558,11346,53912,3990176,1206,31460,NA,NA,NA,NA,NA,NA
Zirconium Ores & Conc.,tonne,4859,241900,1693,95182,308,31130,NA,NA,NA,NA,NA,NA
Other Minerals Nes,tonne,1362345,1200053,757361,1663194,1670509,2507325,NA,NA,NA,NA,NA,NA
